scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen2_2,milk_an,non_SSB,plastic,h2o,bev,42154497.93331129
scen2_2,milk_an,non_SSB,carton,ghg,bev,2619832.5555827245
scen2_2,milk_an,non_SSB,carton,h2o,bev,1203803.5266127018
scen2_2,milk_an,SSB,plastic,ghg,bev,0
scen2_2,milk_an,SSB,plastic,h2o,bev,0
scen2_2,milk_an,SSB,carton,ghg,bev,0
scen2_2,milk_an,SSB,carton,h2o,bev,0
scen2_2,milk_an,SSB,bag_in_box,ghg,bev,0
scen2_2,milk_an,SSB,bag_in_box,h2o,bev,0
scen2_2,milk_other_plant,non_SSB,carton,ghg,bev,1073347.953336315
scen2_2,milk_other_plant,non_SSB,carton,h2o,bev,155758.05354273372
scen2_2,milk_other_plant,non_SSB,bag_in_box,ghg,bev,2354523.9513185853
scen2_2,milk_other_plant,non_SSB,bag_in_box,h2o,bev,341674.9121635663
scen2_2,milk_other_plant,SSB,carton,ghg,bev,0
scen2_2,milk_other_plant,SSB,carton,h2o,bev,0
scen2_2,milk_other_plant,SSB,bag_in_box,ghg,bev,0
scen2_2,milk_other_plant,SSB,bag_in_box,h2o,bev,0
scen2_2,milk_soy,non_SSB,carton,ghg,bev,25639113.1768292
scen2_2,milk_soy,non_SSB,carton,h2o,bev,423579.829586
scen2_2,milk_soy,SSB,carton,ghg,bev,0
scen2_2,milk_soy,SSB,carton,h2o,bev,0
scen2_2,probiotic,non_SSB,plastic,ghg,bev,1629775.0664666
scen2_2,probiotic,non_SSB,plastic,h2o,bev,282539.5305792
scen2_2,probiotic,SSB,glass,ghg,bev,0
scen2_2,probiotic,SSB,glass,h2o,bev,0
scen2_2,soda,non_SSB,alum_can,ghg,bev,4967212.375666665
scen2_2,soda,non_SSB,alum_can,h2o,bev,2183204.9581488483
scen2_2,soda,non_SSB,glass,ghg,bev,617728.9371563145
scen2_2,soda,non_SSB,glass,h2o,bev,271506.18423289794
scen2_2,soda,non_SSB,plastic,ghg,bev,4002896.4328586943
scen2_2,soda,non_SSB,plastic,h2o,bev,1759365.7525063106
scen2_2,soda,non_SSB,bag_in_box,ghg,bev,7676648.340450025
scen2_2,soda,non_SSB,bag_in_box,h2o,bev,3374064.8579750434
scen2_2,soda,SSB,alum_can,ghg,bev,0
scen2_2,soda,SSB,alum_can,h2o,bev,0
scen2_2,soda,SSB,glass,ghg,bev,0
scen2_2,soda,SSB,glass,h2o,bev,0
scen2_2,soda,SSB,plastic,ghg,bev,0
scen2_2,soda,SSB,plastic,h2o,bev,0
scen2_2,soda,SSB,carton,ghg,bev,0
scen2_2,soda,SSB,carton,h2o,bev,0
scen2_2,soda,SSB,bag_in_box,ghg,bev,0
scen2_2,soda,SSB,bag_in_box,h2o,bev,0
scen2_2,tea,non_SSB,alum_can,ghg,bev,537087.5161192443
scen2_2,tea,non_SSB,alum_can,h2o,bev,68254.99485259266
scen2_2,tea,non_SSB,glass,ghg,bev,1113249.1063107555
scen2_2,tea,non_SSB,glass,h2o,bev,141475.66223457674
scen2_2,tea,non_SSB,plastic,ghg,bev,3056387.773538753
scen2_2,tea,non_SSB,plastic,h2o,bev,388416.64624373475
scen2_2,tea,non_SSB,bag_in_box,ghg,bev,5408162.6051672455
scen2_2,tea,non_SSB,bag_in_box,h2o,bev,687288.5697378957
