scen,bev_type,SSB_status,cont_type,vol
scen3_1,soda,SSB,bag_in_box,0
scen3_1,tea,non_SSB,alum_can,0
scen3_1,tea,non_SSB,glass,0
scen3_1,tea,non_SSB,plastic,0
scen3_1,tea,non_SSB,bag_in_box,0
scen3_1,tea,SSB,alum_can,0
scen3_1,tea,SSB,glass,0
scen3_1,tea,SSB,plastic,0
scen3_1,tea,SSB,bag_in_box,0
scen3_1,water_bottled,non_SSB,plastic,940847.69
scen3_1,water_ucsb,non_SSB,steel_bott_reuse,0
scen3_2,coffee,non_SSB,alum_can,0
scen3_2,coffee,non_SSB,glass,0
scen3_2,coffee,non_SSB,plastic,0
scen3_2,coffee,SSB,alum_can,0
scen3_2,coffee,SSB,glass,0
scen3_2,coffee,SSB,plastic,0
scen3_2,coffee_milk,non_SSB,alum_can,0
scen3_2,coffee_milk,non_SSB,glass,0
scen3_2,coffee_milk,non_SSB,plastic,0
scen3_2,coffee_milk,SSB,alum_can,0
scen3_2,coffee_milk,SSB,glass,0
scen3_2,coffee_milk,SSB,plastic,0
scen3_2,juice,non_SSB,alum_can,0
scen3_2,juice,non_SSB,glass,0
scen3_2,juice,non_SSB,plastic,0
scen3_2,juice,non_SSB,carton,0
scen3_2,juice,SSB,alum_can,0
scen3_2,juice,SSB,glass,0
scen3_2,juice,SSB,plastic,0
scen3_2,juice,SSB,carton,0
scen3_2,juice,SSB,bag_in_box,0
scen3_2,milk_almond,non_SSB,carton,0
scen3_2,milk_almond,SSB,plastic,0
scen3_2,milk_almond,SSB,carton,0
scen3_2,milk_an,non_SSB,plastic,0
scen3_2,milk_an,non_SSB,carton,0
scen3_2,milk_an,SSB,plastic,0
scen3_2,milk_an,SSB,carton,0
scen3_2,milk_an,SSB,bag_in_box,0
scen3_2,milk_other_plant,non_SSB,carton,0
scen3_2,milk_other_plant,non_SSB,bag_in_box,0
scen3_2,milk_other_plant,SSB,carton,0
scen3_2,milk_other_plant,SSB,bag_in_box,0
scen3_2,milk_soy,non_SSB,carton,0
scen3_2,milk_soy,SSB,carton,0
scen3_2,probiotic,non_SSB,plastic,0
scen3_2,probiotic,SSB,glass,0
scen3_2,soda,non_SSB,alum_can,0
scen3_2,soda,non_SSB,glass,0
scen3_2,soda,non_SSB,plastic,0
scen3_2,soda,non_SSB,bag_in_box,0
scen3_2,soda,SSB,alum_can,0
scen3_2,soda,SSB,glass,0
scen3_2,soda,SSB,plastic,0
scen3_2,soda,SSB,carton,0
scen3_2,soda,SSB,bag_in_box,0
scen3_2,tea,non_SSB,alum_can,0
scen3_2,tea,non_SSB,glass,0
scen3_2,tea,non_SSB,plastic,0
scen3_2,tea,non_SSB,bag_in_box,0
scen3_2,tea,SSB,alum_can,0
scen3_2,tea,SSB,glass,0
scen3_2,tea,SSB,plastic,0
scen3_2,tea,SSB,bag_in_box,0
scen3_2,water_bottled,non_SSB,plastic,104488.89
scen3_2,water_ucsb,non_SSB,steel_bott_reuse,836358.8
scen4,coffee,non_SSB,alum_can,133.43582931954137
scen4,coffee,non_SSB,glass,949.2020312753148
scen4,coffee,non_SSB,plastic,197.49213940514377
scen4,coffee,SSB,alum_can,13.84039201092578
scen4,coffee,SSB,glass,639.9999305735457
scen4,coffee,SSB,plastic,39.12567741552837
scen4,coffee_milk,non_SSB,alum_can,18.453799999999998
scen4,coffee_milk,non_SSB,glass,423.8622
scen4,coffee_milk,non_SSB,plastic,72.04099999999998
scen4,coffee_milk,SSB,alum_can,4540.05900748631
scen4,coffee_milk,SSB,glass,15166.471222831982
scen4,coffee_milk,SSB,plastic,2022.6497696817055
scen4,juice,non_SSB,alum_can,210.60811725361796
scen4,juice,non_SSB,glass,667.1781546571383
scen4,juice,non_SSB,plastic,38265.983634858574
scen4,juice,non_SSB,carton,1138.0300932306727
scen4,juice,SSB,alum_can,7911.739261817923
scen4,juice,SSB,glass,4986.375928035849
scen4,juice,SSB,plastic,12197.842557829059
scen4,juice,SSB,carton,667.1269305089023
scen4,juice,SSB,bag_in_box,63890.105321808274
scen4,milk_almond,non_SSB,carton,511.03
scen4,milk_almond,SSB,plastic,7939.773584530642
scen4,milk_almond,SSB,carton,60821.096415469365
scen4,milk_an,non_SSB,plastic,55461.43116117958
scen4,milk_an,non_SSB,carton,1583.80883882042
scen4,milk_an,SSB,plastic,433.0980186889384
scen4,milk_an,SSB,carton,323.741013969992
scen4,milk_an,SSB,bag_in_box,22417.19096734107
scen4,milk_other_plant,non_SSB,carton,0
scen4,milk_other_plant,non_SSB,bag_in_box,0
scen4,milk_other_plant,SSB,carton,2360.674060628883
scen4,milk_other_plant,SSB,bag_in_box,5178.4359393711175
scen4,milk_soy,non_SSB,carton,10527.230000000001
scen4,milk_soy,SSB,carton,31668.1
scen4,probiotic,non_SSB,plastic,416.703
scen4,probiotic,SSB,glass,5575.360000000001
scen4,soda,non_SSB,alum_can,23161.205409792365
scen4,soda,non_SSB,glass,2880.3573753235964
scen4,soda,non_SSB,plastic,18664.776036100575
scen4,soda,non_SSB,bag_in_box,35794.81117878347
scen4,soda,SSB,alum_can,20747.799530723336
scen4,soda,SSB,glass,1232.5281018251274
scen4,soda,SSB,plastic,71892.5635064585
scen4,soda,SSB,carton,2.9238000043295624
scen4,soda,SSB,bag_in_box,176248.50506098874
scen4,tea,non_SSB,alum_can,899.9807637184596
scen4,tea,non_SSB,glass,1865.4367320725505
scen4,tea,non_SSB,plastic,5121.493462600721
scen4,tea,non_SSB,bag_in_box,9062.289041608268
scen4,tea,SSB,alum_can,53806.57037035965
scen4,tea,SSB,glass,33895.42011523711
scen4,tea,SSB,plastic,20599.959477785946
scen4,tea,SSB,bag_in_box,1112.910036617294
scen4,water_bottled,non_SSB,plastic,0
scen4,water_ucsb,non_SSB,steel_bott_reuse,104488.89
scen5_1,coffee,non_SSB,alum_can,330.9279687246852
scen5_1,coffee,non_SSB,glass,949.2020312753148
scen5_1,coffee,SSB,alum_can,52.966069426454155
scen5_1,coffee,SSB,glass,639.9999305735457
scen5_1,coffee_milk,non_SSB,alum_can,90.49479999999998
scen5_1,coffee_milk,non_SSB,glass,423.8622
scen5_1,coffee_milk,SSB,alum_can,6562.708777168015
scen5_1,coffee_milk,SSB,glass,15166.471222831982
scen5_1,juice,non_SSB,alum_can,38476.59175211219
scen5_1,juice,non_SSB,glass,667.1781546571383
scen5_1,juice,non_SSB,carton,1138.0300932306727
scen5_1,juice,SSB,alum_can,20109.58181964698
scen5_1,juice,SSB,glass,4986.375928035849
scen5_1,juice,SSB,carton,667.1269305089023
scen5_1,juice,SSB,bag_in_box,63890.105321808274
scen5_1,milk_almond,non_SSB,carton,511.03
scen5_1,milk_almond,SSB,alum_can,7939.773584530642
scen5_1,milk_almond,SSB,carton,60821.096415469365
scen5_1,milk_an,non_SSB,alum_can,55461.43116117958
scen5_1,milk_an,non_SSB,carton,1583.80883882042
scen5_1,milk_an,SSB,alum_can,433.0980186889384
scen5_1,milk_an,SSB,carton,323.741013969992
scen5_1,milk_an,SSB,bag_in_box,22417.19096734107
scen5_1,milk_other_plant,SSB,carton,2360.674060628883
scen5_1,milk_other_plant,SSB,bag_in_box,5178.4359393711175
scen5_1,milk_soy,non_SSB,carton,10527.230000000001
scen5_1,milk_soy,SSB,carton,31668.1
scen5_1,probiotic,non_SSB,alum_can,416.703
scen5_1,probiotic,SSB,glass,5575.360000000001
scen5_1,soda,non_SSB,alum_can,41825.98144589294
scen5_1,soda,non_SSB,glass,2880.3573753235964
scen5_1,soda,non_SSB,bag_in_box,35794.81117878347
scen5_1,soda,SSB,alum_can,92640.36303718183
scen5_1,soda,SSB,glass,1232.5281018251274
scen5_1,soda,SSB,carton,2.9238000043295624
scen5_1,soda,SSB,bag_in_box,176248.50506098874
scen5_1,tea,non_SSB,alum_can,6021.47422631918
scen5_1,tea,non_SSB,glass,1865.4367320725505
scen5_1,tea,non_SSB,bag_in_box,9062.289041608268
scen5_1,tea,SSB,alum_can,74406.5298481456
scen5_1,tea,SSB,glass,33895.42011523712
scen5_1,tea,SSB,bag_in_box,1112.9100366172943
scen5_1,water_bottled,non_SSB,alum_can,104488.89
scen5_2,coffee,non_SSB,alum_can,133.4360930026343
scen5_2,coffee,non_SSB,glass,949.2039069973655
scen5_2,coffee,SSB,alum_can,13.840406350354142
scen5_2,coffee,SSB,glass,640.0005936496458
scen5_2,coffee_milk,non_SSB,alum_can,18.453799999999998
scen5_2,coffee_milk,non_SSB,glass,423.8622
scen5_2,coffee_milk,SSB,alum_can,4540.05895442478
scen5_2,coffee_milk,SSB,glass,15166.471045575217
scen5_2,juice,non_SSB,alum_can,210.60849701574975
scen5_2,juice,non_SSB,glass,667.1793576924324
scen5_2,juice,non_SSB,carton,1138.0321452918176
scen5_2,juice,SSB,alum_can,7911.7385016313365
scen5_2,juice,SSB,glass,4986.375448928036
scen5_2,juice,SSB,carton,667.1268664090973
scen5_2,juice,SSB,bag_in_box,63890.09918303152
scen5_2,milk_almond,non_SSB,carton,511.03
scen5_2,milk_almond,SSB,carton,60821.1
scen5_2,milk_an,non_SSB,carton,1583.81
scen5_2,milk_an,SSB,carton,323.7409857639514
scen5_2,milk_an,SSB,bag_in_box,22417.18901423605
scen5_2,milk_other_plant,SSB,carton,2360.674060628883
scen5_2,milk_other_plant,SSB,bag_in_box,5178.4359393711175
scen5_2,milk_soy,non_SSB,carton,10527.230000000001
scen5_2,milk_soy,SSB,carton,31668.1
scen5_2,probiotic,SSB,glass,5575.360000000001
scen5_2,soda,non_SSB,alum_can,23161.203925088736
scen5_2,soda,non_SSB,glass,2880.3571906839384
scen5_2,soda,non_SSB,bag_in_box,35794.808884227336
scen5_2,soda,SSB,alum_can,20747.799897724562
scen5_2,soda,SSB,glass,1232.5281236269248
scen5_2,soda,SSB,carton,2.9238000560477304
